date,h00922,spread,s2_score,signal_used,nav,cash,shares,position,exposure,trade_action
2015-01-14,4507.52,-0.0476,0.0848806366047745,,146306.26266390545,146306.26266390545,0.0,0.0,0.0,NONE
2015-01-15,4625.29,-0.2044000000000001,0.0608465608465608,,146306.26266390545,146306.26266390545,0.0,0.0,0.0,NONE
2015-01-16,4660.77,-0.2040000000000001,0.0633245382585752,,146306.26266390545,146306.26266390545,0.0,0.0,0.0,NONE
2015-01-19,4314.02,0.1617999999999999,0.1657894736842105,,146306.26266390545,146306.26266390545,0.0,0.0,0.0,NONE
2015-01-20,4415.93,0.1272999999999999,0.1391076115485564,,146306.26266390545,146306.26266390545,0.0,0.0,0.0,NONE
2015-01-21,4574.24,-0.0596000000000001,0.0863874345549738,,146306.26266390545,146306.26266390545,0.0,0.0,0.0,NONE
2015-01-22,4605.19,-0.0297,0.0992167101827676,,146306.26266390545,146306.26266390545,0.0,0.0,0.0,NONE
2015-01-23,4585.51,-0.0489000000000001,0.0911458333333333,,146306.26266390545,146306.26266390545,0.0,0.0,0.0,NONE
2015-01-26,4654.91,-0.0406999999999997,0.0961038961038961,,146306.26266390545,146306.26266390545,0.0,0.0,0.0,NONE
2015-01-27,4649.3,0.0336000000000002,0.1191709844559585,,146306.26266390545,146306.26266390545,0.0,0.0,0.0,NONE
2015-01-28,4608.58,0.0421999999999997,0.1214470284237726,,146306.26266390545,146306.26266390545,0.0,0.0,0.0,NONE
2015-01-29,4579.74,0.0881000000000002,0.1469072164948453,,146306.26266390545,146306.26266390545,0.0,0.0,0.0,NONE
2015-01-30,4521.04,0.1402999999999998,0.1670951156812339,,146306.26266390545,146306.26266390545,0.0,0.0,0.0,NONE
2015-02-02,4416.68,0.3035999999999998,0.3179487179487179,0.1670951156812339,146306.26266390545,117045.01013112436,6.625169252194202,0.2,0.2,BUY
2015-02-03,4491.9,0.2197999999999997,0.217391304347826,,146804.6078950555,117045.01013112436,6.625169252194202,0.2,0.20271569258374392,NONE
2015-02-04,4460.71,0.2622,0.2653061224489796,,146597.96886607955,117045.01013112436,6.625169252194202,0.2,0.20159187036180884,NONE
2015-02-05,4397.07,0.3693999999999997,0.361323155216285,,146176.34309486992,117045.01013112436,6.625169252194202,0.2,0.1992889707525316,NONE
2015-02-06,4295.87,0.4196,0.4111675126903553,,145505.87596654787,117045.01013112436,6.625169252194202,0.2,0.19559942611504377,NONE
2015-02-09,4297.04,0.3986999999999998,0.3848101265822785,,145513.62741457293,117045.01013112436,6.625169252194202,0.2,0.19564227618586252,NONE
2015-02-10,4376.47,0.3233999999999999,0.3257575757575757,,146039.86460827471,117045.01013112436,6.625169252194202,0.2,0.19854068308625022,NONE
2015-02-11,4396.84,0.3679999999999999,0.3576826196473551,,146174.81930594193,117045.01013112436,6.625169252194202,0.2,0.19928062379779146,NONE
2015-02-12,4406.4,0.3668,0.3567839195979899,,146238.1559239929,117045.01013112436,6.625169252194202,0.2,0.19962742013815898,NONE
2015-02-13,4463.49,0.3610000000000002,0.3533834586466165,,146616.38683660066,117045.01013112436,6.625169252194202,0.2,0.20169216650000155,NONE
2015-02-16,4498.05,0.3826999999999998,0.375,,146845.3526859565,117045.01013112436,6.625169252194202,0.2,0.20293691294788982,NONE
2015-02-17,4529.29,0.3589000000000002,0.3491271820448878,,147052.32297339503,117045.01013112436,6.625169252194202,0.2,0.20405874749560843,NONE
2015-02-25,4517.29,0.3515999999999999,0.3383084577114428,,146972.8209423687,117045.01013112436,6.625169252194202,0.2,0.2036281988693658,NONE
2015-02-26,4607.28,0.2606000000000001,0.2555831265508685,,147569.01992337365,117045.01013112436,6.625169252194202,0.2,0.2068456496363473,NONE
